"Daily Weather Observations for Melbourne (Olympic Park), Victoria for November 2025",,,,,,,,,,,,,,,,,,,,,
Prepared at 13:01 UTC on Wednesday 18 March 2026   IDCJDW3033.202511,,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Melbourne (Olympic Park) {station 086338},,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Date,Min temperature (°C),Max temperature (°C),Total Rainfall (mm),Time of maximum  gust,Direction of wind,max wind speed (km/h),max  gust speed(km/h),max pressure (hPa),Max Humidity (%),Min Humidity (%),,,,9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,10/06/2021,,,,,,,,,,,,,,,,,,,,
,11/06/2021,,,,,,,,,,,,,,,,,,,,
,12/06/2021,,,,,,,,,,,,,,,,,,,,
,13/06/2021,,,,,,,,,,,,,,,,,,,,
,14/06/2021,,,,,,,,,,,,,,,,,,,,
,15/06/2021,,,,,,,,,,,,,,,,,,,,
,16/06/2021,,,,,,,,,,,,,,,,,,,,
,17/06/2021,,,,,,,,,,,,,,,,,,,,
,18/06/2021,,,,,,,,,,,,,,,,,,,,
,19/06/2021,,,,,,,,,,,,,,,,,,,,
,20/06/2021,,,,,,,,,,,,,,,,,,,,
,21/06/2021,,,,,,,,,,,,,,,,,,,,
,22/06/2021,,,,,,,,,,,,,,,,,,,,
,23/06/2021,,,,,,,,,,,,,,,,,,,,
,24/06/2021,,,,,,,,,,,,,,,,,,,,
,25/06/2021,,,,,,,,,,,,,,,,,,,,
,26/06/2021,,,,,,,,,,,,,,,,,,,,
,27/06/2021,,,,,,,,,,,,,,,,,,,,
,28/06/2021,,,,,,,,,,,,,,,,,,,,
,29/06/2021,,,,,,,,,,,,,,,,,,,,
,30/06/2021,,,,,,,,,,,,,,,,,,,,
,1/07/2021,,,,,,,,,,,,,,,,,,,,
,2/07/2021,,,,,,,,,,,,,,,,,,,,
,3/07/2021,,,,,,,,,,,,,,,,,,,,
,4/07/2021,,,,,,,,,,,,,,,,,,,,
,5/07/2021,,,,,,,,,,,,,,,,,,,,
,6/07/2021,,,,,,,,,,,,,,,,,,,,
,7/07/2021,,,,,,,,,,,,,,,,,,,,
,8/07/2021,,,,,,,,,,,,,,,,,,,,
,9/07/2021,,,,,,,,,,,,,,,,,,,,
,10/07/2021,,,,,,,,,,,,,,,,,,,,
,11/07/2021,,,,,,,,,,,,,,,,,,,,
,12/07/2021,,,,,,,,,,,,,,,,,,,,
,13/07/2021,,,,,,,,,,,,,,,,,,,,
,14/07/2021,,,,,,,,,,,,,,,,,,,,
,15/07/2021,,,,,,,,,,,,,,,,,,,,
,16/07/2021,,,,,,,,,,,,,,,,,,,,
,17/07/2021,,,,,,,,,,,,,,,,,,,,
,18/07/2021,,,,,,,,,,,,,,,,,,,,
,19/07/2021,,,,,,,,,,,,,,,,,,,,
,20/07/2021,,,,,,,,,,,,,,,,,,,,
,21/07/2021,,,,,,,,,,,,,,,,,,,,
,22/07/2021,,,,,,,,,,,,,,,,,,,,
,23/07/2021,,,,,,,,,,,,,,,,,,,,
,24/07/2021,,,,,,,,,,,,,,,,,,,,
,25/07/2021,,,,,,,,,,,,,,,,,,,,
,26/07/2021,,,,,,,,,,,,,,,,,,,,
,27/07/2021,,,,,,,,,,,,,,,,,,,,
,28/07/2021,,,,,,,,,,,,,,,,,,,,
,29/07/2021,,,,,,,,,,,,,,,,,,,,
,30/07/2021,,,,,,,,,,,,,,,,,,,,
,31/07/2021,,,,,,,,,,,,,,,,,,,,
,1/08/2021,,,,,,,,,,,,,,,,,,,,
,2/08/2021,,,,,,,,,,,,,,,,,,,,
,3/08/2021,,,,,,,,,,,,,,,,,,,,
,4/08/2021,,,,,,,,,,,,,,,,,,,,
,5/08/2021,,,,,,,,,,,,,,,,,,,,
,6/08/2021,,,,,,,,,,,,,,,,,,,,
,7/08/2021,,,,,,,,,,,,,,,,,,,,
,8/08/2021,,,,,,,,,,,,,,,,,,,,
,9/08/2021,,,,,,,,,,,,,,,,,,,,
,10/08/2021,,,,,,,,,,,,,,,,,,,,
,11/08/2021,,,,,,,,,,,,,,,,,,,,
,12/08/2021,,,,,,,,,,,,,,,,,,,,
,13/08/2021,,,,,,,,,,,,,,,,,,,,
,14/08/2021,,,,,,,,,,,,,,,,,,,,
,15/08/2021,,,,,,,,,,,,,,,,,,,,
,16/08/2021,,,,,,,,,,,,,,,,,,,,
,17/08/2021,,,,,,,,,,,,,,,,,,,,
,18/08/2021,,,,,,,,,,,,,,,,,,,,
,19/08/2021,,,,,,,,,,,,,,,,,,,,
,20/08/2021,,,,,,,,,,,,,,,,,,,,
,21/08/2021,,,,,,,,,,,,,,,,,,,,
,22/08/2021,,,,,,,,,,,,,,,,,,,,
,23/08/2021,,,,,,,,,,,,,,,,,,,,
,24/08/2021,,,,,,,,,,,,,,,,,,,,
,25/08/2021,,,,,,,,,,,,,,,,,,,,
,26/08/2021,,,,,,,,,,,,,,,,,,,,
,27/08/2021,,,,,,,,,,,,,,,,,,,,
,28/08/2021,,,,,,,,,,,,,,,,,,,,
,29/08/2021,,,,,,,,,,,,,,,,,,,,
,30/08/2021,,,,,,,,,,,,,,,,,,,,
,31/08/2021,,,,,,,,,,,,,,,,,,,,
,1/09/2021,,,,,,,,,,,,,,,,,,,,
,2/09/2021,,,,,,,,,,,,,,,,,,,,
,3/09/2021,,,,,,,,,,,,,,,,,,,,
,4/09/2021,,,,,,,,,,,,,,,,,,,,
,5/09/2021,,,,,,,,,,,,,,,,,,,,
,6/09/2021,,,,,,,,,,,,,,,,,,,,
,7/09/2021,,,,,,,,,,,,,,,,,,,,
,8/09/2021,,,,,,,,,,,,,,,,,,,,
,9/09/2021,,,,,,,,,,,,,,,,,,,,
,10/09/2021,,,,,,,,,,,,,,,,,,,,
,11/09/2021,,,,,,,,,,,,,,,,,,,,
,12/09/2021,,,,,,,,,,,,,,,,,,,,
,13/09/2021,,,,,,,,,,,,,,,,,,,,
,14/09/2021,,,,,,,,,,,,,,,,,,,,
,15/09/2021,,,,,,,,,,,,,,,,,,,,
,16/09/2021,,,,,,,,,,,,,,,,,,,,
,17/09/2021,,,,,,,,,,,,,,,,,,,,
,18/09/2021,,,,,,,,,,,,,,,,,,,,
,19/09/2021,,,,,,,,,,,,,,,,,,,,
,20/09/2021,,,,,,,,,,,,,,,,,,,,
,21/09/2021,,,,,,,,,,,,,,,,,,,,
,22/09/2021,,,,,,,,,,,,,,,,,,,,
,23/09/2021,,,,,,,,,,,,,,,,,,,,
,24/09/2021,,,,,,,,,,,,,,,,,,,,
,25/09/2021,,,,,,,,,,,,,,,,,,,,
,26/09/2021,,,,,,,,,,,,,,,,,,,,
,27/09/2021,,,,,,,,,,,,,,,,,,,,
,28/09/2021,,,,,,,,,,,,,,,,,,,,
,29/09/2021,,,,,,,,,,,,,,,,,,,,
,30/09/2021,,,,,,,,,,,,,,,,,,,,
,1/10/2021,,,,,,,,,,,,,,,,,,,,
,2/10/2021,,,,,,,,,,,,,,,,,,,,
,3/10/2021,,,,,,,,,,,,,,,,,,,,
,4/10/2021,,,,,,,,,,,,,,,,,,,,
,5/10/2021,,,,,,,,,,,,,,,,,,,,
,6/10/2021,,,,,,,,,,,,,,,,,,,,
,7/10/2021,,,,,,,,,,,,,,,,,,,,
,8/10/2021,,,,,,,,,,,,,,,,,,,,
,9/10/2021,,,,,,,,,,,,,,,,,,,,
,10/10/2021,,,,,,,,,,,,,,,,,,,,
,11/10/2021,,,,,,,,,,,,,,,,,,,,
,12/10/2021,,,,,,,,,,,,,,,,,,,,
,13/10/2021,,,,,,,,,,,,,,,,,,,,
,14/10/2021,,,,,,,,,,,,,,,,,,,,
,15/10/2021,,,,,,,,,,,,,,,,,,,,
,16/10/2021,,,,,,,,,,,,,,,,,,,,
,17/10/2021,,,,,,,,,,,,,,,,,,,,
,18/10/2021,,,,,,,,,,,,,,,,,,,,
,19/10/2021,,,,,,,,,,,,,,,,,,,,
,20/10/2021,,,,,,,,,,,,,,,,,,,,
,21/10/2021,,,,,,,,,,,,,,,,,,,,
,22/10/2021,,,,,,,,,,,,,,,,,,,,
,23/10/2021,,,,,,,,,,,,,,,,,,,,
,24/10/2021,,,,,,,,,,,,,,,,,,,,
,25/10/2021,,,,,,,,,,,,,,,,,,,,
,26/10/2021,,,,,,,,,,,,,,,,,,,,
,27/10/2021,,,,,,,,,,,,,,,,,,,,
,28/10/2021,,,,,,,,,,,,,,,,,,,,
,29/10/2021,,,,,,,,,,,,,,,,,,,,
,30/10/2021,,,,,,,,,,,,,,,,,,,,
,31/10/2021,,,,,,,,,,,,,,,,,,,,
,1/11/2021,,,,,,,,,,,,,,,,,,,,
,2/11/2021,,,,,,,,,,,,,,,,,,,,
,3/11/2021,,,,,,,,,,,,,,,,,,,,
,4/11/2021,,,,,,,,,,,,,,,,,,,,
,5/11/2021,,,,,,,,,,,,,,,,,,,,
,6/11/2021,,,,,,,,,,,,,,,,,,,,
,7/11/2021,,,,,,,,,,,,,,,,,,,,
,8/11/2021,,,,,,,,,,,,,,,,,,,,
,9/11/2021,,,,,,,,,,,,,,,,,,,,
,10/11/2021,,,,,,,,,,,,,,,,,,,,
,11/11/2021,,,,,,,,,,,,,,,,,,,,
,12/11/2021,,,,,,,,,,,,,,,,,,,,
,13/11/2021,,,,,,,,,,,,,,,,,,,,
,14/11/2021,,,,,,,,,,,,,,,,,,,,
,15/11/2021,,,,,,,,,,,,,,,,,,,,
,16/11/2021,,,,,,,,,,,,,,,,,,,,
,17/11/2021,,,,,,,,,,,,,,,,,,,,
,18/11/2021,,,,,,,,,,,,,,,,,,,,
,19/11/2021,,,,,,,,,,,,,,,,,,,,
,20/11/2021,,,,,,,,,,,,,,,,,,,,
,21/11/2021,,,,,,,,,,,,,,,,,,,,
,22/11/2021,,,,,,,,,,,,,,,,,,,,
,23/11/2021,,,,,,,,,,,,,,,,,,,,
,24/11/2021,,,,,,,,,,,,,,,,,,,,
,25/11/2021,,,,,,,,,,,,,,,,,,,,
,26/11/2021,,,,,,,,,,,,,,,,,,,,
,27/11/2021,,,,,,,,,,,,,,,,,,,,
,28/11/2021,,,,,,,,,,,,,,,,,,,,
,29/11/2021,,,,,,,,,,,,,,,,,,,,
,30/11/2021,,,,,,,,,,,,,,,,,,,,
,1/12/2021,,,,,,,,,,,,,,,,,,,,
,2/12/2021,,,,,,,,,,,,,,,,,,,,
,3/12/2021,,,,,,,,,,,,,,,,,,,,
,4/12/2021,,,,,,,,,,,,,,,,,,,,
,5/12/2021,,,,,,,,,,,,,,,,,,,,
,6/12/2021,,,,,,,,,,,,,,,,,,,,
,7/12/2021,,,,,,,,,,,,,,,,,,,,
,8/12/2021,,,,,,,,,,,,,,,,,,,,
,9/12/2021,,,,,,,,,,,,,,,,,,,,
,10/12/2021,,,,,,,,,,,,,,,,,,,,
,11/12/2021,,,,,,,,,,,,,,,,,,,,
,12/12/2021,,,,,,,,,,,,,,,,,,,,
,13/12/2021,,,,,,,,,,,,,,,,,,,,
,14/12/2021,,,,,,,,,,,,,,,,,,,,
,15/12/2021,,,,,,,,,,,,,,,,,,,,
,16/12/2021,,,,,,,,,,,,,,,,,,,,
,17/12/2021,,,,,,,,,,,,,,,,,,,,
,18/12/2021,,,,,,,,,,,,,,,,,,,,
,19/12/2021,,,,,,,,,,,,,,,,,,,,
,20/12/2021,,,,,,,,,,,,,,,,,,,,
,21/12/2021,,,,,,,,,,,,,,,,,,,,
,22/12/2021,,,,,,,,,,,,,,,,,,,,
,23/12/2021,,,,,,,,,,,,,,,,,,,,
,24/12/2021,,,,,,,,,,,,,,,,,,,,
,25/12/2021,,,,,,,,,,,,,,,,,,,,
,26/12/2021,,,,,,,,,,,,,,,,,,,,
,27/12/2021,,,,,,,,,,,,,,,,,,,,
,28/12/2021,,,,,,,,,,,,,,,,,,,,
,29/12/2021,,,,,,,,,,,,,,,,,,,,
,30/12/2021,,,,,,,,,,,,,,,,,,,,
,31/12/2021,,,,,,,,,,,,,,,,,,,,
,1/01/2022,,,,,,,,,,,,,,,,,,,,
,2/01/2022,,,,,,,,,,,,,,,,,,,,
,3/01/2022,,,,,,,,,,,,,,,,,,,,
,4/01/2022,,,,,,,,,,,,,,,,,,,,
,5/01/2022,,,,,,,,,,,,,,,,,,,,
,6/01/2022,,,,,,,,,,,,,,,,,,,,
,7/01/2022,,,,,,,,,,,,,,,,,,,,
,8/01/2022,,,,,,,,,,,,,,,,,,,,
,9/01/2022,,,,,,,,,,,,,,,,,,,,
,10/01/2022,,,,,,,,,,,,,,,,,,,,
,11/01/2022,,,,,,,,,,,,,,,,,,,,
,12/01/2022,,,,,,,,,,,,,,,,,,,,
,13/01/2022,,,,,,,,,,,,,,,,,,,,
,14/01/2022,,,,,,,,,,,,,,,,,,,,
,15/01/2022,,,,,,,,,,,,,,,,,,,,
,16/01/2022,,,,,,,,,,,,,,,,,,,,
,17/01/2022,,,,,,,,,,,,,,,,,,,,
,18/01/2022,,,,,,,,,,,,,,,,,,,,
,19/01/2022,,,,,,,,,,,,,,,,,,,,
,20/01/2022,,,,,,,,,,,,,,,,,,,,
,21/01/2022,,,,,,,,,,,,,,,,,,,,
,22/01/2022,,,,,,,,,,,,,,,,,,,,
,23/01/2022,,,,,,,,,,,,,,,,,,,,
,24/01/2022,,,,,,,,,,,,,,,,,,,,
,25/01/2022,,,,,,,,,,,,,,,,,,,,
,26/01/2022,,,,,,,,,,,,,,,,,,,,
,27/01/2022,,,,,,,,,,,,,,,,,,,,
,28/01/2022,,,,,,,,,,,,,,,,,,,,
,29/01/2022,,,,,,,,,,,,,,,,,,,,
,30/01/2022,,,,,,,,,,,,,,,,,,,,
,31/01/2022,,,,,,,,,,,,,,,,,,,,
,1/02/2022,,,,,,,,,,,,,,,,,,,,
,2/02/2022,,,,,,,,,,,,,,,,,,,,
,3/02/2022,,,,,,,,,,,,,,,,,,,,
,4/02/2022,,,,,,,,,,,,,,,,,,,,
,5/02/2022,,,,,,,,,,,,,,,,,,,,
,6/02/2022,,,,,,,,,,,,,,,,,,,,
,7/02/2022,,,,,,,,,,,,,,,,,,,,
,8/02/2022,,,,,,,,,,,,,,,,,,,,
,9/02/2022,,,,,,,,,,,,,,,,,,,,
,10/02/2022,,,,,,,,,,,,,,,,,,,,
,11/02/2022,,,,,,,,,,,,,,,,,,,,
,12/02/2022,,,,,,,,,,,,,,,,,,,,
,13/02/2022,,,,,,,,,,,,,,,,,,,,
,14/02/2022,,,,,,,,,,,,,,,,,,,,
,15/02/2022,,,,,,,,,,,,,,,,,,,,
,16/02/2022,,,,,,,,,,,,,,,,,,,,
,17/02/2022,,,,,,,,,,,,,,,,,,,,
,18/02/2022,,,,,,,,,,,,,,,,,,,,
,19/02/2022,,,,,,,,,,,,,,,,,,,,
,20/02/2022,,,,,,,,,,,,,,,,,,,,
,21/02/2022,,,,,,,,,,,,,,,,,,,,
,22/02/2022,,,,,,,,,,,,,,,,,,,,
,23/02/2022,,,,,,,,,,,,,,,,,,,,
,24/02/2022,,,,,,,,,,,,,,,,,,,,
,25/02/2022,,,,,,,,,,,,,,,,,,,,
,26/02/2022,,,,,,,,,,,,,,,,,,,,
,27/02/2022,,,,,,,,,,,,,,,,,,,,
,28/02/2022,,,,,,,,,,,,,,,,,,,,
,1/03/2022,,,,,,,,,,,,,,,,,,,,
,2/03/2022,,,,,,,,,,,,,,,,,,,,
,3/03/2022,,,,,,,,,,,,,,,,,,,,
,4/03/2022,,,,,,,,,,,,,,,,,,,,
,5/03/2022,,,,,,,,,,,,,,,,,,,,
,6/03/2022,,,,,,,,,,,,,,,,,,,,
,7/03/2022,,,,,,,,,,,,,,,,,,,,
,8/03/2022,,,,,,,,,,,,,,,,,,,,
,9/03/2022,,,,,,,,,,,,,,,,,,,,
,10/03/2022,,,,,,,,,,,,,,,,,,,,
,11/03/2022,,,,,,,,,,,,,,,,,,,,
,12/03/2022,,,,,,,,,,,,,,,,,,,,
,13/03/2022,,,,,,,,,,,,,,,,,,,,
,14/03/2022,,,,,,,,,,,,,,,,,,,,
,15/03/2022,,,,,,,,,,,,,,,,,,,,
,16/03/2022,,,,,,,,,,,,,,,,,,,,
,17/03/2022,,,,,,,,,,,,,,,,,,,,
,18/03/2022,,,,,,,,,,,,,,,,,,,,
,19/03/2022,,,,,,,,,,,,,,,,,,,,
,20/03/2022,,,,,,,,,,,,,,,,,,,,
,21/03/2022,,,,,,,,,,,,,,,,,,,,
,22/03/2022,,,,,,,,,,,,,,,,,,,,
,23/03/2022,,,,,,,,,,,,,,,,,,,,
,24/03/2022,,,,,,,,,,,,,,,,,,,,
,25/03/2022,,,,,,,,,,,,,,,,,,,,
,26/03/2022,,,,,,,,,,,,,,,,,,,,
,27/03/2022,,,,,,,,,,,,,,,,,,,,
,28/03/2022,,,,,,,,,,,,,,,,,,,,
,29/03/2022,,,,,,,,,,,,,,,,,,,,
,30/03/2022,,,,,,,,,,,,,,,,,,,,
,31/03/2022,,,,,,,,,,,,,,,,,,,,
,1/04/2022,,,,,,,,,,,,,,,,,,,,
,2/04/2022,,,,,,,,,,,,,,,,,,,,
,3/04/2022,,,,,,,,,,,,,,,,,,,,
,4/04/2022,,,,,,,,,,,,,,,,,,,,
,5/04/2022,,,,,,,,,,,,,,,,,,,,
,6/04/2022,,,,,,,,,,,,,,,,,,,,
,7/04/2022,,,,,,,,,,,,,,,,,,,,
,8/04/2022,,,,,,,,,,,,,,,,,,,,
,9/04/2022,,,,,,,,,,,,,,,,,,,,
,10/04/2022,,,,,,,,,,,,,,,,,,,,
,11/04/2022,,,,,,,,,,,,,,,,,,,,
,12/04/2022,,,,,,,,,,,,,,,,,,,,
,13/04/2022,,,,,,,,,,,,,,,,,,,,
,14/04/2022,,,,,,,,,,,,,,,,,,,,
,15/04/2022,,,,,,,,,,,,,,,,,,,,
,16/04/2022,,,,,,,,,,,,,,,,,,,,
,17/04/2022,,,,,,,,,,,,,,,,,,,,
,18/04/2022,,,,,,,,,,,,,,,,,,,,
,19/04/2022,,,,,,,,,,,,,,,,,,,,
,20/04/2022,,,,,,,,,,,,,,,,,,,,
,21/04/2022,,,,,,,,,,,,,,,,,,,,
,22/04/2022,,,,,,,,,,,,,,,,,,,,
,23/04/2022,,,,,,,,,,,,,,,,,,,,
,24/04/2022,,,,,,,,,,,,,,,,,,,,
,25/04/2022,,,,,,,,,,,,,,,,,,,,
,26/04/2022,,,,,,,,,,,,,,,,,,,,
,27/04/2022,,,,,,,,,,,,,,,,,,,,
,28/04/2022,,,,,,,,,,,,,,,,,,,,
,29/04/2022,,,,,,,,,,,,,,,,,,,,
,30/04/2022,,,,,,,,,,,,,,,,,,,,
,1/05/2022,,,,,,,,,,,,,,,,,,,,
,2/05/2022,,,,,,,,,,,,,,,,,,,,
,3/05/2022,,,,,,,,,,,,,,,,,,,,
,4/05/2022,,,,,,,,,,,,,,,,,,,,
,5/05/2022,,,,,,,,,,,,,,,,,,,,
,6/05/2022,,,,,,,,,,,,,,,,,,,,
,7/05/2022,,,,,,,,,,,,,,,,,,,,
,8/05/2022,,,,,,,,,,,,,,,,,,,,
,9/05/2022,,,,,,,,,,,,,,,,,,,,
,10/05/2022,,,,,,,,,,,,,,,,,,,,
,11/05/2022,,,,,,,,,,,,,,,,,,,,
,12/05/2022,,,,,,,,,,,,,,,,,,,,
,13/05/2022,,,,,,,,,,,,,,,,,,,,
,14/05/2022,,,,,,,,,,,,,,,,,,,,
,15/05/2022,,,,,,,,,,,,,,,,,,,,
,16/05/2022,,,,,,,,,,,,,,,,,,,,
,17/05/2022,,,,,,,,,,,,,,,,,,,,
,18/05/2022,,,,,,,,,,,,,,,,,,,,
,19/05/2022,,,,,,,,,,,,,,,,,,,,
,20/05/2022,,,,,,,,,,,,,,,,,,,,
,21/05/2022,,,,,,,,,,,,,,,,,,,,
,22/05/2022,,,,,,,,,,,,,,,,,,,,
,23/05/2022,,,,,,,,,,,,,,,,,,,,
,24/05/2022,,,,,,,,,,,,,,,,,,,,
,25/05/2022,,,,,,,,,,,,,,,,,,,,
,26/05/2022,,,,,,,,,,,,,,,,,,,,
,27/05/2022,,,,,,,,,,,,,,,,,,,,
,28/05/2022,,,,,,,,,,,,,,,,,,,,
,29/05/2022,,,,,,,,,,,,,,,,,,,,
,30/05/2022,,,,,,,,,,,,,,,,,,,,
,31/05/2022,,,,,,,,,,,,,,,,,,,,
,1/06/2022,,,,,,,,,,,,,,,,,,,,
,2/06/2022,,,,,,,,,,,,,,,,,,,,
,3/06/2022,,,,,,,,,,,,,,,,,,,,
,4/06/2022,,,,,,,,,,,,,,,,,,,,
,5/06/2022,,,,,,,,,,,,,,,,,,,,
,6/06/2022,,,,,,,,,,,,,,,,,,,,
,7/06/2022,,,,,,,,,,,,,,,,,,,,
,8/06/2022,,,,,,,,,,,,,,,,,,,,
,9/06/2022,,,,,,,,,,,,,,,,,,,,
,10/06/2022,,,,,,,,,,,,,,,,,,,,
,11/06/2022,,,,,,,,,,,,,,,,,,,,
,12/06/2022,,,,,,,,,,,,,,,,,,,,
,13/06/2022,,,,,,,,,,,,,,,,,,,,
,14/06/2022,,,,,,,,,,,,,,,,,,,,
,15/06/2022,,,,,,,,,,,,,,,,,,,,
,16/06/2022,,,,,,,,,,,,,,,,,,,,
,17/06/2022,,,,,,,,,,,,,,,,,,,,
,18/06/2022,,,,,,,,,,,,,,,,,,,,
,19/06/2022,,,,,,,,,,,,,,,,,,,,
,20/06/2022,,,,,,,,,,,,,,,,,,,,
,21/06/2022,,,,,,,,,,,,,,,,,,,,
,22/06/2022,,,,,,,,,,,,,,,,,,,,
,23/06/2022,,,,,,,,,,,,,,,,,,,,
,24/06/2022,,,,,,,,,,,,,,,,,,,,
,25/06/2022,,,,,,,,,,,,,,,,,,,,
,26/06/2022,,,,,,,,,,,,,,,,,,,,
,27/06/2022,,,,,,,,,,,,,,,,,,,,
,28/06/2022,,,,,,,,,,,,,,,,,,,,
,29/06/2022,,,,,,,,,,,,,,,,,,,,
,30/06/2022,,,,,,,,,,,,,,,,,,,,
,1/07/2022,,,,,,,,,,,,,,,,,,,,
,2/07/2022,,,,,,,,,,,,,,,,,,,,
,3/07/2022,,,,,,,,,,,,,,,,,,,,
,4/07/2022,,,,,,,,,,,,,,,,,,,,
,5/07/2022,,,,,,,,,,,,,,,,,,,,
,6/07/2022,,,,,,,,,,,,,,,,,,,,
,7/07/2022,,,,,,,,,,,,,,,,,,,,
,8/07/2022,,,,,,,,,,,,,,,,,,,,
,9/07/2022,,,,,,,,,,,,,,,,,,,,
,10/07/2022,,,,,,,,,,,,,,,,,,,,
,11/07/2022,,,,,,,,,,,,,,,,,,,,
,12/07/2022,,,,,,,,,,,,,,,,,,,,
,13/07/2022,,,,,,,,,,,,,,,,,,,,
,14/07/2022,,,,,,,,,,,,,,,,,,,,
,15/07/2022,,,,,,,,,,,,,,,,,,,,
,16/07/2022,,,,,,,,,,,,,,,,,,,,
,17/07/2022,,,,,,,,,,,,,,,,,,,,
,18/07/2022,,,,,,,,,,,,,,,,,,,,
,19/07/2022,,,,,,,,,,,,,,,,,,,,
,20/07/2022,,,,,,,,,,,,,,,,,,,,
,21/07/2022,,,,,,,,,,,,,,,,,,,,
,22/07/2022,,,,,,,,,,,,,,,,,,,,
,23/07/2022,,,,,,,,,,,,,,,,,,,,
,24/07/2022,,,,,,,,,,,,,,,,,,,,
,25/07/2022,,,,,,,,,,,,,,,,,,,,
,26/07/2022,,,,,,,,,,,,,,,,,,,,
,27/07/2022,,,,,,,,,,,,,,,,,,,,
,28/07/2022,,,,,,,,,,,,,,,,,,,,
,29/07/2022,,,,,,,,,,,,,,,,,,,,
,30/07/2022,,,,,,,,,,,,,,,,,,,,
,31/07/2022,,,,,,,,,,,,,,,,,,,,
,1/08/2022,,,,,,,,,,,,,,,,,,,,
,2/08/2022,,,,,,,,,,,,,,,,,,,,
,3/08/2022,,,,,,,,,,,,,,,,,,,,
,4/08/2022,,,,,,,,,,,,,,,,,,,,
,5/08/2022,,,,,,,,,,,,,,,,,,,,
,6/08/2022,,,,,,,,,,,,,,,,,,,,
,7/08/2022,,,,,,,,,,,,,,,,,,,,
,8/08/2022,,,,,,,,,,,,,,,,,,,,
,9/08/2022,,,,,,,,,,,,,,,,,,,,
,10/08/2022,,,,,,,,,,,,,,,,,,,,
,11/08/2022,,,,,,,,,,,,,,,,,,,,
,12/08/2022,,,,,,,,,,,,,,,,,,,,
,13/08/2022,,,,,,,,,,,,,,,,,,,,
,14/08/2022,,,,,,,,,,,,,,,,,,,,
,15/08/2022,,,,,,,,,,,,,,,,,,,,
,16/08/2022,,,,,,,,,,,,,,,,,,,,
,17/08/2022,,,,,,,,,,,,,,,,,,,,
,18/08/2022,,,,,,,,,,,,,,,,,,,,
,19/08/2022,,,,,,,,,,,,,,,,,,,,
,20/08/2022,,,,,,,,,,,,,,,,,,,,
,21/08/2022,,,,,,,,,,,,,,,,,,,,
,22/08/2022,,,,,,,,,,,,,,,,,,,,
,23/08/2022,,,,,,,,,,,,,,,,,,,,
,24/08/2022,,,,,,,,,,,,,,,,,,,,
,25/08/2022,,,,,,,,,,,,,,,,,,,,
,26/08/2022,,,,,,,,,,,,,,,,,,,,
,27/08/2022,,,,,,,,,,,,,,,,,,,,
,28/08/2022,,,,,,,,,,,,,,,,,,,,
,29/08/2022,,,,,,,,,,,,,,,,,,,,
,30/08/2022,,,,,,,,,,,,,,,,,,,,
,31/08/2022,,,,,,,,,,,,,,,,,,,,
,1/09/2022,,,,,,,,,,,,,,,,,,,,
,2/09/2022,,,,,,,,,,,,,,,,,,,,
,3/09/2022,,,,,,,,,,,,,,,,,,,,
,4/09/2022,,,,,,,,,,,,,,,,,,,,
,5/09/2022,,,,,,,,,,,,,,,,,,,,
,6/09/2022,,,,,,,,,,,,,,,,,,,,
,7/09/2022,,,,,,,,,,,,,,,,,,,,
,8/09/2022,,,,,,,,,,,,,,,,,,,,
,9/09/2022,,,,,,,,,,,,,,,,,,,,
,10/09/2022,,,,,,,,,,,,,,,,,,,,
,11/09/2022,,,,,,,,,,,,,,,,,,,,
,12/09/2022,,,,,,,,,,,,,,,,,,,,
,13/09/2022,,,,,,,,,,,,,,,,,,,,
,14/09/2022,,,,,,,,,,,,,,,,,,,,
,15/09/2022,,,,,,,,,,,,,,,,,,,,
,16/09/2022,,,,,,,,,,,,,,,,,,,,
,17/09/2022,,,,,,,,,,,,,,,,,,,,
,18/09/2022,,,,,,,,,,,,,,,,,,,,
,19/09/2022,,,,,,,,,,,,,,,,,,,,
,20/09/2022,,,,,,,,,,,,,,,,,,,,
,21/09/2022,,,,,,,,,,,,,,,,,,,,
,22/09/2022,,,,,,,,,,,,,,,,,,,,
,23/09/2022,,,,,,,,,,,,,,,,,,,,
,24/09/2022,,,,,,,,,,,,,,,,,,,,
,25/09/2022,,,,,,,,,,,,,,,,,,,,
,26/09/2022,,,,,,,,,,,,,,,,,,,,
,27/09/2022,,,,,,,,,,,,,,,,,,,,
,28/09/2022,,,,,,,,,,,,,,,,,,,,
,29/09/2022,,,,,,,,,,,,,,,,,,,,
,30/09/2022,,,,,,,,,,,,,,,,,,,,
,1/10/2022,,,,,,,,,,,,,,,,,,,,
,2/10/2022,,,,,,,,,,,,,,,,,,,,
,3/10/2022,,,,,,,,,,,,,,,,,,,,
,4/10/2022,,,,,,,,,,,,,,,,,,,,
,5/10/2022,,,,,,,,,,,,,,,,,,,,
,6/10/2022,,,,,,,,,,,,,,,,,,,,
,7/10/2022,,,,,,,,,,,,,,,,,,,,
